"参加者ID","外向性1","外向性2","協調性1","協調性2","誠実性1","誠実性2","神経症傾向1","神経症傾向2","開放性1","開放性2"
"P065",6,7,5,2,7,7,3,7,6,7
"P066",1,2,6,5,7,7,2,2,6,5
"P067",3,1,6,3,2,4,7,4,2,4
"P068",2,1,4,1,6,7,6,6,4,6
"P069",4,2,4,5,5,6,2,2,2,4
"P070",4,1,4,3,5,7,5,3,3,6
"P071",7,7,5,5,3,4,1,2,3,6
"P072",5,7,5,3,5,4,2,4,3,3
"P073",2,4,3,5,7,6,3,4,6,6
"P074",4,4,6,6,5,4,3,3,7,7
"P075",4,6,5,5,3,3,3,5,4,5
"P076",2,1,2,3,2,2,2,3,5,4
"P077",4,3,1,1,3,3,3,5,2,2
"P078",2,2,2,4,5,6,6,7,6,5
"P079",5,6,6,4,4,4,7,7,5,4
"P080",4,6,1,5,3,2,6,6,6,4
"P081",2,2,5,4,5,6,2,3,1,2
"P082",3,5,4,6,6,4,4,5,4,1
"P083",4,4,5,6,6,7,2,5,6,6
"P084",4,6,2,5,7,6,3,2,7,6
"P085",7,7,3,2,3,3,4,3,4,3
"P086",5,2,5,7,6,7,4,6,3,4
"P087",6,6,2,1,2,5,3,6,2,3
"P088",5,5,6,6,7,6,7,3,3,6
"P089",2,2,3,3,6,6,3,7,6,3
"P090",2,2,5,4,5,3,3,1,4,3
"P091",1,1,3,3,6,6,5,5,4,3
"P092",5,3,2,5,4,2,6,2,5,5
"P093",5,2,3,2,5,5,4,5,2,2
"P094",1,2,4,4,6,6,6,5,2,3
"P095",4,7,5,4,3,3,4,4,6,6
"P096",7,7,2,5,4,3,3,3,4,4
"P097",6,6,5,7,2,2,4,2,3,5
"P098",7,7,2,2,1,2,5,5,2,3
"P099",4,3,5,5,7,7,2,1,7,7
"P100",4,4,4,5,2,1,1,1,1,1
"P101",2,3,3,3,5,7,3,5,2,4
"P102",1,2,1,2,7,4,6,2,6,4
"P103",5,5,1,3,2,2,5,6,6,5
"P104",2,2,2,2,4,6,2,4,1,2
"P105",6,5,4,5,3,4,2,4,6,6
"P106",2,3,2,1,2,2,4,2,4,5
"P107",4,5,7,6,5,5,2,5,6,6
"P108",4,4,3,3,3,3,5,6,5,2
"P109",4,2,4,4,4,4,2,1,6,6
"P110",2,4,6,6,5,6,2,1,6,7
"P111",4,5,7,6,6,7,4,6,5,5
"P112",4,4,3,2,4,3,2,2,5,4
"P113",5,4,1,1,1,1,5,3,3,2
"P114",4,6,2,5,3,2,2,2,6,4
"P115",6,7,3,1,1,2,5,5,5,6
"P116",5,5,2,2,4,4,6,6,4,4
"P117",4,6,7,3,4,3,4,2,5,6
"P118",1,2,1,2,6,7,2,5,1,1
"P119",7,7,4,6,2,2,6,4,2,4
"P120",3,5,5,2,2,3,1,2,3,5
"P121",6,6,2,2,4,2,7,6,6,3
"P122",7,6,2,5,2,1,3,1,6,3
"P123",4,5,6,7,4,3,4,2,1,3
"P124",5,6,5,3,3,3,6,5,5,4
"P125",4,5,5,5,5,6,3,5,5,5
"P126",5,6,2,3,5,3,6,4,5,2
"P127",4,6,6,4,5,4,6,4,6,4
"P128",7,6,3,5,1,1,6,4,6,6
"P129",5,7,3,4,4,3,7,6,6,4
"P130",3,4,3,5,5,4,4,4,5,4
"P131",5,5,2,2,6,5,2,3,3,2
"P132",6,3,5,2,2,3,6,4,3,4
"P133",5,5,5,3,5,5,4,2,2,5
"P134",3,1,2,2,3,2,4,1,2,2
"P135",2,2,1,1,4,5,3,4,2,2
"P136",5,4,5,2,4,5,6,4,7,7
"P137",6,5,5,6,5,5,3,2,2,4
"P138",2,3,3,4,4,4,2,4,1,2
"P139",2,6,5,7,4,3,3,4,7,5
"P140",2,2,5,6,4,2,5,2,6,6
"P141",5,5,1,1,5,6,4,6,3,7
"P142",7,6,5,6,3,4,2,2,4,5
"P143",6,6,7,6,6,6,3,2,3,6
"P144",5,2,5,1,1,4,4,1,2,7
"P145",1,5,6,6,6,4,4,5,7,6
"P146",2,2,5,5,7,7,5,6,6,4
"P147",6,3,7,7,7,7,4,3,7,7
"P148",4,4,2,4,3,3,6,6,5,4
"P149",2,1,6,7,1,1,2,2,2,2
"P150",5,6,2,5,3,2,6,5,6,4
"P151",2,3,3,4,2,2,6,6,3,4
"P152",7,7,6,5,3,2,3,3,5,2
"P153",3,2,6,5,5,7,1,4,2,4
"P154",3,3,4,6,2,2,6,4,2,5
"P155",3,5,4,4,1,1,2,1,4,3
"P156",6,7,6,7,6,2,4,3,7,3
"P157",3,3,6,6,2,3,3,1,3,6
"P158",6,5,6,3,3,4,4,3,6,6
"P159",5,3,6,6,5,6,6,7,6,6
"P160",1,2,2,3,6,5,6,7,5,1
"P161",2,2,4,4,5,2,5,1,7,6
"P162",6,4,3,1,2,4,6,5,4,7
"P163",3,2,5,2,4,4,6,2,4,6
"P164",4,5,3,4,3,1,3,1,4,3
"P165",4,2,2,3,2,2,3,5,2,1
"P166",2,1,4,2,4,6,4,4,2,4
"P167",7,5,2,1,4,5,7,7,4,5
"P168",1,2,1,1,4,5,3,5,7,7
"P169",4,5,7,7,6,6,5,6,4,2
"P170",4,1,6,5,4,3,6,2,3,2
"P171",2,4,2,3,2,2,3,3,5,6
"P172",5,4,4,5,5,5,4,4,1,1
"P173",6,7,5,4,3,2,4,5,6,5
"P174",2,2,4,5,7,7,2,2,4,3
"P175",1,5,2,4,6,2,5,3,2,2
"P176",6,3,7,5,3,6,4,4,3,4
"P177",4,6,7,7,4,2,6,3,7,5
"P178",2,3,2,4,3,2,2,1,3,5
"P179",3,5,6,6,7,7,4,7,4,3
"P180",5,2,5,2,3,2,4,1,5,5
"P181",3,4,3,3,4,4,3,1,4,5
"P182",5,5,7,6,5,7,7,7,3,6
"P183",5,4,3,3,3,4,5,5,1,2
"P184",4,3,6,2,6,6,5,3,5,3
"P185",5,4,1,2,3,3,6,6,4,3
"P186",7,7,1,2,6,6,3,6,7,6
"P187",2,3,5,5,6,5,4,4,4,3
"P188",4,2,3,3,5,5,5,4,4,4
"P189",6,5,4,2,5,4,3,4,7,6
"P190",4,6,3,5,4,4,7,7,7,7
"P191",5,3,3,5,6,6,2,2,5,6
"P192",6,5,6,5,4,6,1,2,4,6
"P193",3,5,3,2,4,2,3,1,4,3
"P194",7,6,3,6,2,4,1,4,6,7
"P195",4,5,7,6,4,4,3,4,7,7
"P196",2,3,4,6,6,3,1,1,4,2
"P197",3,5,2,5,7,6,2,5,6,4
"P198",2,2,6,4,7,7,5,3,7,7
"P199",2,1,2,3,6,6,2,1,4,4
"P200",5,3,6,3,3,4,4,4,3,2
"P201",6,6,3,2,3,2,7,3,7,7
"P202",4,3,3,4,3,4,4,4,2,4
"P203",3,3,6,7,6,6,2,4,2,2
"P204",1,3,2,3,6,6,1,2,3,4
"P205",6,5,7,7,3,2,6,2,6,6
"P206",7,6,2,6,2,4,2,2,5,7
"P207",2,4,4,5,7,5,7,7,7,7
"P208",2,5,7,7,2,2,2,3,6,7
"P209",4,6,3,5,2,2,5,4,4,4
"P210",5,5,4,3,3,6,3,6,3,6
"P211",6,6,6,4,5,4,7,6,5,4
"P212",2,2,2,1,3,5,1,3,1,2
"P213",4,2,6,2,2,5,3,4,3,6
"P214",4,3,5,7,3,3,2,3,4,4
"P215",2,2,3,3,2,3,4,6,3,5
"P216",4,3,5,3,4,5,2,5,6,5
"P217",4,4,2,3,1,1,1,2,3,3
"P218",2,2,3,4,7,7,4,7,3,3
"P219",6,6,5,6,5,5,3,3,2,4
"P220",6,6,6,6,3,4,4,4,5,7
"P221",1,5,4,7,3,2,3,6,3,2
"P222",6,5,1,1,3,2,4,1,3,3
"P223",3,3,6,4,3,3,4,6,7,5
"P224",5,6,4,5,2,1,4,2,6,4
"P225",3,6,2,3,7,6,7,6,2,2
"P226",3,2,4,3,2,2,7,7,3,2
"P227",4,3,3,2,5,4,6,3,3,2
"P228",3,3,7,6,5,4,6,3,6,5
"P229",5,2,6,2,2,4,3,3,7,7
"P230",2,2,6,6,6,5,2,3,2,2
"P231",5,7,4,4,5,5,5,7,2,2
"P232",3,3,4,3,5,6,3,3,2,4
"P233",7,7,3,3,3,3,4,2,3,3
"P234",6,7,6,7,5,3,3,2,2,2
"P235",4,5,5,6,4,4,5,5,3,4
"P236",7,4,3,4,2,2,3,1,2,3
"P237",3,3,5,3,5,7,2,5,1,2
"P238",4,4,4,4,5,6,3,3,5,6
"P239",2,5,1,2,4,2,4,2,5,3
"P240",6,6,5,3,4,3,5,5,5,4
"P241",6,5,7,7,2,3,4,5,4,4
"P242",2,1,2,1,4,4,6,6,4,1
"P243",2,3,6,6,7,6,3,2,2,2
"P244",3,4,6,5,7,7,2,5,3,4
"P245",7,7,5,7,6,6,3,5,7,7
"P246",2,1,4,4,4,4,2,2,1,1
"P247",2,3,4,6,5,5,1,2,2,3
"P248",4,3,6,7,2,2,3,2,2,3
"P249",4,4,2,2,6,6,3,2,2,4
"P250",6,5,6,6,3,3,5,5,5,4
"P251",7,7,6,6,7,6,5,6,7,5
"P252",3,5,6,7,7,5,4,5,6,3
"P253",5,7,5,7,2,1,2,2,6,5
"P254",4,4,2,2,5,5,3,3,5,5
"P255",4,4,7,5,7,7,3,3,3,3
"P256",4,6,5,3,3,2,6,4,5,5
"P257",6,6,3,6,3,1,5,1,2,4
"P258",4,4,3,1,4,5,7,6,1,3
"P259",5,6,2,3,4,2,4,4,7,5
"P260",5,3,6,4,1,3,2,7,3,4
"P261",4,1,3,2,2,3,1,1,3,5
"P262",1,1,4,7,5,3,5,7,6,1
"P263",2,3,5,4,3,2,2,2,4,4
"P264",6,7,3,3,3,2,6,4,7,7
"P265",3,3,2,1,6,4,7,2,6,6
"P266",3,1,6,4,5,7,4,7,2,3
"P267",2,2,6,3,6,5,4,4,4,3
"P268",5,6,4,3,6,6,2,2,6,6
"P269",7,7,5,5,4,3,5,4,6,7
"P270",3,4,4,3,2,3,2,3,4,5
"P271",3,2,2,3,2,2,5,5,2,2
"P272",3,6,6,6,5,5,3,6,3,4
"P273",5,4,5,7,5,5,6,6,1,2
"P274",2,4,4,5,7,6,5,5,6,5
"P275",5,3,3,2,4,4,7,7,4,3
"P276",1,1,2,6,7,3,3,2,6,4
"P277",5,3,7,1,3,6,4,4,1,2
"P278",6,7,3,6,2,1,3,2,4,4
"P279",2,1,5,6,6,6,3,2,4,5
"P280",2,2,3,6,4,5,1,3,3,2
"P281",4,3,4,2,4,7,2,3,2,6
"P282",6,3,2,3,1,2,6,7,7,7
"P283",4,5,5,3,5,5,2,2,7,7
"P284",4,3,6,5,6,6,2,2,2,6
"P285",3,3,4,3,4,3,7,6,4,1
"P286",3,4,6,6,5,4,4,5,4,2
"P287",1,2,6,5,4,6,1,2,1,1
"P288",4,5,6,4,4,3,7,6,5,5
"P289",7,7,7,6,1,2,4,4,3,6
"P290",2,2,1,2,2,2,6,5,4,2
"P291",4,3,3,5,2,1,2,2,7,4
"P292",2,3,3,6,3,5,4,7,3,4
"P293",6,3,5,5,2,2,7,6,2,3
"P294",2,2,6,3,6,6,3,2,1,1
"P295",5,2,5,2,4,4,5,3,4,6
"P296",3,5,5,7,5,3,5,2,6,5
"P297",5,6,7,7,6,7,5,5,2,5
"P298",2,5,6,6,6,6,2,1,2,5
"P299",5,5,4,3,4,4,2,4,4,3
"P300",6,6,7,7,2,2,4,6,6,6
"P301",5,4,4,3,4,4,7,6,3,2
"P302",1,3,3,4,5,3,6,5,2,2
"P303",5,4,5,4,2,4,4,2,1,4
"P304",2,5,2,6,5,4,1,4,4,2
"P305",7,4,7,6,5,7,4,5,2,3
"P306",3,6,2,6,6,3,3,5,5,3
"P307",3,3,4,4,4,5,1,3,5,6
"P308",2,1,2,2,4,5,5,3,4,4
"P309",5,4,1,2,1,1,4,5,6,7
"P310",3,3,3,2,6,4,7,6,6,2
"P311",4,6,6,7,4,2,1,2,5,2
"P312",4,6,1,3,1,1,2,4,5,3
"P313",6,6,1,2,1,2,2,3,4,6
"P314",5,4,2,1,6,5,7,5,7,6
"P315",3,3,6,6,7,7,2,2,6,6
"P316",4,3,5,5,6,4,7,2,7,6
"P317",5,4,5,2,4,5,7,6,6,5
"P318",5,5,5,3,3,3,3,3,2,2
"P319",6,7,6,7,3,2,2,4,5,5
"P320",1,1,1,1,1,2,5,5,3,2
"P321",4,5,5,7,6,7,5,2,6,7
"P322",5,4,5,6,2,3,1,3,4,2
"P323",5,3,3,6,6,5,6,7,6,2
"P324",3,4,6,7,3,3,3,5,4,3
"P325",2,1,3,3,6,7,2,4,1,4
"P326",4,5,3,4,2,2,6,6,4,4
"P327",4,2,5,5,6,7,3,5,2,3
"P328",4,2,7,6,5,6,2,1,6,6
"P329",6,4,5,3,4,4,7,5,6,4
"P330",3,3,5,4,2,3,3,3,5,5
"P331",4,3,5,5,4,3,2,1,3,2
"P332",6,3,2,2,5,4,7,6,6,3
"P333",3,3,5,4,3,3,7,6,7,6
"P334",2,2,5,2,2,2,4,4,5,4
"P335",3,1,7,5,7,7,3,5,6,6
"P336",6,6,6,6,7,6,5,4,3,2
"P337",4,5,5,4,2,2,6,6,7,4
"P338",6,6,6,3,4,3,7,3,5,6
"P339",5,4,5,4,1,2,5,6,2,5
"P340",3,6,6,7,6,4,7,5,5,5
"P341",3,3,2,2,2,4,3,4,4,6
"P342",3,2,6,3,5,5,3,2,3,5
"P343",6,5,3,6,6,6,4,7,6,5
"P344",5,6,3,4,5,4,6,4,6,7
"P345",6,5,3,4,5,5,1,2,1,4
"P346",3,5,4,6,6,6,3,4,5,5
"P347",1,2,3,3,7,7,4,7,6,6
"P348",7,7,6,6,5,5,6,6,7,6
"P349",6,2,4,4,2,2,6,2,2,2
"P350",3,4,1,3,7,5,3,3,1,2
"P351",5,2,5,7,6,7,5,4,1,4
"P352",4,6,2,4,3,2,5,5,5,5
"P353",2,3,5,4,4,5,3,2,3,4
"P354",4,5,3,7,6,3,4,5,7,6
"P355",2,3,4,3,2,2,6,2,6,6
"P356",1,2,5,2,5,5,2,2,4,5
"P357",6,5,2,5,2,4,5,7,2,4
"P358",2,2,2,3,6,5,2,3,6,6
"P359",5,2,3,3,1,3,6,6,3,5
"P360",7,5,6,6,1,3,2,6,6,6
"P361",5,5,2,2,6,4,6,5,7,6
"P362",6,5,5,4,1,1,3,2,5,5
"P363",3,3,4,4,2,1,4,2,6,6
"P364",5,5,3,2,4,5,4,6,3,5
"P365",5,5,5,3,5,5,6,5,3,4
"P366",6,7,2,6,6,5,3,7,4,1
"P367",1,1,3,1,3,3,5,4,3,2
"P368",6,7,3,3,2,2,5,6,5,2
"P369",5,2,6,5,4,4,6,3,6,6
"P370",3,2,2,1,2,6,6,7,2,5
"P371",1,2,2,4,6,6,3,2,2,3
"P372",3,5,2,5,6,4,2,3,7,5
"P373",3,3,1,4,6,7,4,6,2,3
"P374",7,4,7,6,1,2,7,5,5,6
"P375",3,1,3,5,6,5,5,2,2,2
"P376",5,4,5,5,5,5,5,3,6,7
"P377",6,6,6,4,6,6,5,2,3,5
"P378",5,7,2,2,1,1,4,5,4,4
"P379",1,5,2,3,4,1,3,3,6,2
"P380",3,1,4,3,7,7,3,2,3,4
"P381",1,1,4,5,7,6,1,1,3,3
"P382",6,3,3,2,1,1,7,4,4,3
"P383",2,3,1,2,2,2,4,5,3,3
"P384",2,2,5,5,6,6,1,1,3,3
"P385",4,3,7,7,4,3,4,2,5,3
"P386",4,4,1,1,3,2,5,4,6,3
"P387",3,7,4,5,6,2,6,6,5,1
"P388",1,4,2,4,5,4,3,6,5,5
"P389",2,4,2,1,6,7,2,6,2,5
"P390",2,2,1,2,4,5,5,7,3,2
"P391",4,2,5,6,4,4,5,3,2,3
"P392",5,5,2,2,2,2,4,5,3,3
"P393",3,2,3,4,4,4,1,2,6,5
"P394",6,6,3,2,4,4,3,4,4,3
"P395",6,5,6,5,4,6,3,3,3,6
"P396",3,2,2,5,5,6,4,6,2,2
"P397",4,2,2,2,3,4,5,7,2,2
"P398",3,4,3,6,3,4,2,3,3,5
"P399",6,5,3,3,2,2,5,3,1,2
"P400",2,1,1,1,3,3,6,7,3,2
"P401",2,1,3,4,3,3,4,2,2,2
"P402",5,6,1,3,6,5,6,5,7,6
"P403",2,4,4,2,5,3,4,3,5,5
"P404",5,2,4,2,5,6,4,3,6,6
"P405",6,6,1,2,1,2,6,6,2,1
"P406",6,5,7,7,5,6,2,2,6,7
"P407",4,4,2,4,5,5,5,6,3,4
"P408",2,5,2,4,6,4,3,3,5,2
"P409",2,2,6,4,2,4,1,1,1,2
"P410",7,7,6,6,6,5,7,6,7,7
"P411",6,4,5,2,2,5,6,6,5,5
"P412",7,5,4,5,5,4,4,5,3,1
"P413",6,5,4,2,1,1,7,3,5,6
"P414",5,4,5,2,2,3,6,5,4,5
"P415",6,6,2,4,3,2,6,5,3,2
"P416",6,6,7,6,2,5,2,3,3,5
"P417",7,7,7,4,2,2,7,5,5,6
"P418",4,3,6,5,3,4,5,5,1,2
"P419",5,6,3,4,2,3,3,5,5,4
"P420",1,2,5,4,6,6,2,2,4,5
"P421",1,2,3,2,2,2,4,4,3,2
"P422",6,6,5,5,4,3,5,4,7,6
"P423",5,5,6,7,7,6,5,5,4,3
"P424",6,4,7,3,3,3,7,3,2,2
"P425",2,3,4,3,6,4,6,6,3,1
"P426",3,3,3,2,2,4,5,3,2,6
"P427",6,5,7,4,5,6,4,5,5,4
"P428",5,2,4,3,5,6,6,2,3,5
"P429",3,4,5,7,7,6,5,6,6,5
"P430",3,5,1,3,5,2,5,3,6,2
"P431",1,2,2,5,6,6,4,6,1,2
"P432",5,6,2,4,4,2,5,6,5,1
"P433",5,5,2,5,2,3,5,3,2,5
"P434",7,7,5,5,3,4,4,4,4,7
"P435",6,6,3,5,5,3,2,2,1,2
"P436",2,1,7,7,5,6,2,4,5,6
"P437",7,6,6,6,1,2,7,6,3,4
"P438",5,2,7,2,1,2,5,3,2,4
"P439",6,4,7,6,2,3,5,2,3,7
"P440",1,2,7,7,7,7,4,6,4,4
"P441",2,2,7,7,6,6,2,3,2,2
"P442",3,3,7,6,3,6,1,5,4,5
"P443",2,1,3,3,2,3,5,2,1,2
"P444",6,5,6,4,2,5,6,7,4,5
"P445",4,4,7,6,5,5,1,1,1,2
"P446",5,5,2,4,6,4,7,7,6,2
"P447",6,2,6,7,7,6,3,3,6,4
"P448",5,5,6,4,4,4,5,3,4,4
"P449",6,2,2,1,2,4,5,3,3,6
"P450",4,2,6,7,4,4,3,4,2,2
"P451",7,4,3,2,2,1,7,3,3,6
"P452",5,4,2,2,2,3,6,6,2,3
"P453",4,3,7,5,4,4,1,2,5,5
"P454",6,6,5,6,6,5,3,5,6,3
"P455",5,2,5,6,5,3,2,2,7,4
"P456",5,5,4,5,4,3,7,6,3,1
"P457",1,1,2,1,6,5,5,5,3,1
"P458",3,4,1,1,4,5,4,5,1,4
"P459",1,1,1,1,6,7,1,5,1,2
"P460",6,4,5,2,1,2,6,3,3,3
"P461",3,2,1,2,4,6,5,7,3,4
"P462",1,2,2,2,7,6,3,4,3,2
"P463",6,4,5,5,6,6,3,3,2,4
"P464",6,6,5,3,5,6,7,6,5,7
"P465",7,6,3,2,4,4,5,5,4,5
"P466",1,2,2,3,2,1,7,5,6,3
"P467",1,2,1,2,2,1,1,3,3,1
"P468",3,2,7,6,6,7,2,4,5,6
"P469",7,6,4,2,3,5,4,4,7,7
"P470",5,6,1,1,4,2,6,5,6,2
"P471",3,4,7,5,5,4,4,2,6,5
"P472",5,6,6,6,5,4,6,4,7,7
"P473",1,2,2,2,4,4,3,5,6,5
"P474",7,6,1,3,1,1,7,5,7,4
"P475",5,5,1,1,2,2,2,2,2,2
"P476",6,5,5,4,1,2,2,2,2,3
"P477",5,3,3,2,2,4,6,6,4,5
"P478",5,3,3,4,3,3,4,5,4,4
"P479",5,5,4,5,4,5,2,7,2,2
"P480",4,5,7,7,7,5,1,1,6,2
"P481",7,6,2,4,3,4,2,4,1,2
"P482",7,5,4,2,4,5,7,6,7,7
"P483",6,4,3,3,2,1,7,5,7,4
"P484",7,6,6,6,6,5,7,7,5,3
"P485",3,4,5,5,6,7,2,2,3,6
"P486",3,3,3,3,1,2,5,4,2,5
"P487",3,5,2,5,5,4,4,6,5,3
"P488",7,7,1,1,1,1,7,7,2,2
"P489",6,6,4,5,2,1,2,3,5,1
"P490",2,1,3,1,3,4,7,5,3,4
"P491",6,4,4,3,2,3,3,3,2,3
"P492",3,5,6,5,4,4,3,4,6,3
"P493",5,4,4,4,3,5,2,2,3,6
"P494",1,2,1,3,4,2,2,2,3,2
"P495",6,5,3,3,1,2,3,3,2,4
"P496",5,1,5,3,2,4,3,2,1,3
"P497",4,3,5,4,7,6,2,2,4,4
"P498",6,6,3,3,1,1,6,6,2,2
"P499",4,4,6,4,7,6,5,3,6,5
"P500",4,3,5,4,6,6,6,5,5,5
